Date,T,T2,T3
2016-07-05,-2.36,-0.52,1.713333333
2016-07-06,-1.26,-2.36,0.533333333
2016-07-07,0.55,-1.26,-0.573333333
2016-07-08,1.41,0.55,-1.38
2016-07-11,1.63,1.41,-1.023333333
2016-07-12,1.26,1.63,0.233333333
2016-07-13,-0.09,1.26,1.196666667
2016-07-14,1.08,-0.09,1.433333333
2016-07-15,-0.93,1.08,0.933333333
2016-07-18,0.53,-0.93,0.75
2016-07-19,-0.87,0.53,0.02
2016-07-20,1.04,-0.87,0.226666667
2016-07-21,-0.06,1.04,-0.423333333
2016-07-22,-0.35,-0.06,0.233333333
2016-07-25,0.23,-0.35,0.036666667
2016-07-26,0.1,0.23,0.21
2016-07-27,1.23,0.1,-0.06
2016-07-28,-0.61,1.23,-0.006666667
2016-07-29,1.25,-0.61,0.52
2016-08-01,-0.63,1.25,0.24
2016-08-02,-0.53,-0.63,0.623333333
2016-08-03,-0.64,-0.53,0.003333333
2016-08-04,0.41,-0.64,0.03
2016-08-05,0.58,0.41,-0.6
2016-08-08,0.08,0.58,-0.253333333
2016-08-09,1.22,0.08,0.116666667
2016-08-10,0.36,1.22,0.356666667
2016-08-11,0.58,0.36,0.626666667
2016-08-12,0.07,0.58,0.553333333
2016-08-15,0.26,0.07,0.72
2016-08-16,0.1,0.26,0.336666667
2016-08-17,-0.71,0.1,0.303333333
2016-08-18,1.16,-0.71,0.143333333
2016-08-19,-0.88,1.16,-0.116666667
2016-08-22,0.02,-0.88,0.183333333
2016-08-23,0.75,0.02,-0.143333333
2016-08-24,-0.15,0.75,0.1
2016-08-25,-0.55,-0.15,-0.036666667
2016-08-26,-0.3,-0.55,0.206666667
2016-08-29,-0.13,-0.3,0.016666667
2016-08-30,-0.02,-0.13,-0.333333333
2016-08-31,-0.22,-0.02,-0.326666667
2016-09-01,0.39,-0.22,-0.15
2016-09-02,1.4,0.39,-0.123333333
2016-09-05,0.11,1.4,0.05
2016-09-06,0.68,0.11,0.523333333
2016-09-07,0.2,0.68,0.633333333
2016-09-08,-0.13,0.2,0.73
2016-09-09,-1.32,-0.13,0.33
2016-09-12,-0.67,-1.32,0.25
2016-09-13,-1.09,-0.67,-0.416666667
2016-09-14,0.16,-1.09,-0.706666667
2016-09-15,0.5,0.16,-1.026666667
2016-09-16,-1.64,0.5,-0.533333333
2016-09-19,1.13,-1.64,-0.143333333
2016-09-20,-0.11,1.13,-0.326666667
2016-09-21,0.73,-0.11,-0.003333333
2016-09-22,1.61,0.73,-0.206666667
2016-09-23,-0.51,1.61,0.583333333
2016-09-26,-1.12,-0.51,0.743333333
2016-09-27,-0.32,-1.12,0.61
2016-09-28,0.72,-0.32,-0.006666667
2016-09-29,0.05,0.72,-0.65
2016-09-30,0.25,0.05,-0.24
2016-10-03,-0.08,0.25,0.15
2016-10-04,0.42,-0.08,0.34
2016-10-05,-0.08,0.42,0.073333333
2016-10-06,-0.89,-0.08,0.196666667
2016-10-07,-0.64,-0.89,0.086666667
2016-10-10,0.28,-0.64,-0.183333333
2016-10-11,-1.4,0.28,-0.536666667
2016-10-12,-0.55,-1.4,-0.416666667
2016-10-13,-0.35,-0.55,-0.586666667
2016-10-14,0.43,-0.35,-0.556666667
2016-10-17,-0.44,0.43,-0.766666667
2016-10-18,1.08,-0.44,-0.156666667
2016-10-19,0.26,1.08,-0.12
2016-10-20,-0.14,0.26,0.356666667
2016-10-21,-0.36,-0.14,0.3
2016-10-24,0.02,-0.36,0.4
2016-10-25,-0.32,0.02,-0.08
2016-10-26,-0.16,-0.32,-0.16
2016-10-27,-0.12,-0.16,-0.22
2016-10-28,0.4,-0.12,-0.153333333
2016-10-31,-0.46,0.4,-0.2
2016-11-01,-0.21,-0.46,0.04
2016-11-02,-0.78,-0.21,-0.06
2016-11-03,0.04,-0.78,-0.09
2016-11-04,-0.61,0.04,-0.483333333
2016-11-07,0.66,-0.61,-0.316666667
2016-11-08,0.2,0.66,-0.45
2016-11-09,0.1,0.2,0.03
2016-11-10,-0.26,0.1,0.083333333
2016-11-11,-0.81,-0.26,0.32
2016-11-14,-0.94,-0.81,0.013333333
2016-11-15,0.3,-0.94,-0.323333333
2016-11-16,-0.59,0.3,-0.67
2016-11-17,0.12,-0.59,-0.483333333
2016-11-18,-0.69,0.12,-0.41
2016-11-21,0.61,-0.69,-0.056666667
2016-11-22,0.18,0.61,-0.386666667
2016-11-23,-0.67,0.18,0.013333333
2016-11-24,0.32,-0.67,0.033333333
2016-11-25,0.61,0.32,0.04
2016-11-28,-0.69,0.61,-0.056666667
2016-11-29,0.57,-0.69,0.086666667
2016-11-30,0.03,0.57,0.08
2016-12-01,0.02,0.03,0.163333333
2016-12-02,-0.02,0.02,-0.03
2016-12-05,1.36,-0.02,0.206666667
2016-12-06,0.55,1.36,0.01
2016-12-07,1.23,0.55,0.453333333
2016-12-08,-0.23,1.23,0.63
2016-12-09,0.28,-0.23,1.046666667
2016-12-12,0.36,0.28,0.516666667
2016-12-13,0.91,0.36,0.426666667
2016-12-14,-1.28,0.91,0.136666667
2016-12-15,-0.43,-1.28,0.516666667
2016-12-16,0.62,-0.43,-0.003333333
2016-12-19,-0.44,0.62,-0.266666667
2016-12-20,0.25,-0.44,-0.363333333
2016-12-21,0.2,0.25,-0.083333333
2016-12-22,-0.01,0.2,0.143333333
2016-12-23,0.27,-0.01,0.003333333
2016-12-26,-0.02,0.27,0.146666667
2016-12-27,0.2,-0.02,0.153333333
2016-12-28,-0.21,0.2,0.08
2016-12-29,0.55,-0.21,0.15
2016-12-30,0.51,0.55,-0.01
